528,145196,127568
529,145415,128807
530,145415,127964
531,145467,128397
532,146064,128269
533,147533,129010
534,148011,130174
535,149104,130053
536,150516,132521
537,152156,132377
538,149659,132712
539,150503,131310
540,150292,131056
541,151738,132092
542,152646,132865
543,149851,132136
544,153352,132224
545,153890,132537
546,154105,132932
547,153702,133408
548,155558,134455
549,156869,134617
550,155914,134564
551,156617,134679
552,157564,135056
553,159323,135402
554,157647,136458
555,160366,137184
556,159990,136882
557,162361,136737
558,161932,137945
559,163167,139155
560,163965,138189
561,162754,138401
562,163118,139201
563,163717,140134
564,165811,140172
565,164609,139938
566,165418,140606
567,168087,141373
568,167386,143360
569,171077,143469
570,166214,143015
571,173018,145528
572,168767,143699
573,170779,143201
574,166589,143726
575,172042,144565
576,165883,144008
577,173274,144653
578,170269,145489
579,175408,145060
580,171727,145960
581,176339,146855
582,171963,146755
583,177719,147360
584,174141,147057
585,180500,148407
586,176525,147981
587,181802,148820
588,177386,150172
589,180665,149345
590,175595,149876
591,182773,150215
592,176390,150132
593,184981,151387
594,181116,151567
595,184737,151746
596,183016,151624
597,188969,152931
598,181950,153045
599,188765,153601
600,185773,153527
601,190096,154357
602,187005,154188
603,192005,154841
604,188998,156017
605,191692,156376
606,189484,156178
607,196265,156529
608,190340,157402
609,196072,157996
610,193148,158789
611,196410,158628
612,194637,159065
613,199041,158990
614,195439,158893
615,200084,159633
616,197047,160353
617,201943,160905
618,197874,161077
619,202881,161130
620,198724,162583
621,202980,162458
622,200206,162576
623,203683,163390
624,197888,163445
625,207475,163532
626,204840,164730
627,208791,164452
628,205548,164811
629,207756,165242
630,206219,165384
631,210348,166853
632,208557,167977
633,213876,169215
634,210665,168877
635,213126,168431
636,210570,168307
637,217078,168343
638,211828,169214
639,216632,169308
640,213385,170013
641,220503,169782
642,212411,169960
643,220343,170640
644,216352,171078
645,223719,171189
646,216409,170477
647,224608,171593
648,218853,172341
649,222690,173722
650,221221,172926
651,223590,173130
652,222216,174481
653,223603,174025
654,223647,174612
655,224958,174084
656,225369,176284
657,230703,175642
658,222844,175924
659,234239,176461
660,222588,176733
661,232233,176453
662,226161,176770
663,235302,178357
664,228615,177860
665,232273,177832
666,228695,177741
667,235715,179647
668,230785,179703
669,236316,179476
670,230455,179139
671,237902,180454
672,234595,181833
673,237366,181349
674,236984,181480
675,240768,181718
676,238744,181649
677,241945,181556
678,236550,182493
679,242124,183377
680,238650,182328
681,244418,183847
682,238694,184035
683,244173,184709
684,237855,184202
685,249104,186679
686,240382,185172
687,246790,186763
688,241582,187244
689,246506,188510
690,247872,191274
691,250436,190532
692,246678,189494
693,252522,191939
694,248344,190906
695,254615,191381
696,250370,191975
697,254702,193405
698,250036,192046
699,260421,192130
700,249691,192003
701,260217,193603
702,251353,193530
703,262498,194030
704,255732,193457
705,260075,194640
706,254465,196246
707,260899,196767
708,254803,196189
709,261004,196584
710,256635,198109
711,269498,198462
712,257509,198220
713,268388,199871
714,263816,199499
715,269627,200104
716,263037,201030
717,269168,201880
718,264698,203428
719,271170,202354
720,269158,201723
721,272468,207840
722,270402,210351
723,284570,213984
724,285377,217959
725,288097,206672
726,270030,205858
727,284889,211331
728,273313,208385
729,283445,208991
730,277098,210342
731,282525,206312
732,273864,207192
733,283328,207958
734,274356,209933
735,283096,209480
736,278953,209176
737,285232,211597
738,286480,212964
739,290924,214880
740,282654,213385
741,290031,214522
742,284445,214591
743,294212,214882
744,289246,217524
745,295888,219201
746,292477,220398
747,297822,219310
748,290321,219195
749,307250,222919
750,292214,221318
751,299325,220677
752,292013,219195
753,302425,222109
754,297787,220793
755,302988,221859
756,296625,221632
757,303781,221815
758,296749,221993
759,309160,223986
760,298695,223935
761,304710,224308
762,300599,224635
763,308762,223658
764,300795,225427
765,308624,225756
766,306816,227704
767,312593,228265
768,309790,227853
769,315465,228670
770,313153,230004
771,315989,230285
772,313546,230805
773,319559,231578
774,314637,231519
775,320819,232813
776,318529,232836
777,323735,233636
778,317073,233486
779,344537,264198
780,341082,239305
781,329908,235716
782,354812,237252
783,329039,240110
784,326967,240377
785,335172,239970
786,328235,239686
787,332985,237113
788,327777,237576
789,333430,240033
790,329843,238601
791,333992,238702
792,330207,240311
793,335805,241168
794,331901,240945
795,338502,242430
796,333651,241740
797,336005,241896
798,333818,242053
799,339410,242482
800,336426,243163
801,341726,244251
802,341437,249057
803,348128,247599
804,342144,248537
805,346627,249159
806,343421,250154
807,352405,250029
808,344498,249954
809,351558,251332
810,345070,249148
811,348807,249246
812,350960,250962
813,350326,251849
814,350653,252352
815,355347,253320
816,347314,251913
817,348556,252500
818,358024,257104
819,355378,253957
820,358533,255123
821,355960,257084
822,357267,257533
823,358452,257221
824,361933,258236
825,359356,257454
826,362558,258033
827,362653,259871
828,366866,260546
829,364260,262458
830,370858,261684
831,367789,261580
832,364629,261795
833,374837,263774
834,368938,263821
835,374011,263409
836,370025,263296
837,373791,262598
838,370910,264307
839,371691,264017
